chip,vendor,generation,generation_order,workload,scenario,per_accelerator,submissions,best_system_result,max_accelerators
NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Interactive,3481.03,1,250634,72
NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Interactive,3337.75,1,240318,72
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Interactive,616.831,1,4934.65,8
NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Offline,9820.5,5,2.49431e+06,288
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Offline,8790.71,7,70325.7,8
NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Offline,7322.89,3,486141,72
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Offline,7322.7,3,58581.6,8
NVIDIA GB300,NVIDIA,GB300,5,deepseek-r1,Server,8063.75,5,1.55511e+06,288
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,deepseek-r1,Server,7551.68,7,60413.4,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,deepseek-r1,Server,6461.61,3,51692.9,8
NVIDIA GB200,NVIDIA,GB200,3,deepseek-r1,Server,4867.67,3,336106,72
NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Interactive,9405.54,1,677199,72
NVIDIA GB200,NVIDIA,GB200,3,gpt-oss-120b,Interactive,8679.57,1,624929,72
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Interactive,3250.72,1,26005.8,8
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,gpt-oss-120b,Interactive,1644.41,1,13155.3,8
NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Offline,15371.7,5,1.04615e+06,72
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Offline,13937,6,111496,8
NVIDIA GB200,NVIDIA,GB200,3,gpt-oss-120b,Offline,12215.9,2,879542,72
AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Offline,11875.5,6,1.03107e+06,96
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,gpt-oss-120b,Offline,11633.8,2,93070.7,8
NVIDIA H200-SXM-141GB,NVIDIA,H200,1,gpt-oss-120b,Offline,3585,1,28680,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,gpt-oss-120b,Offline,1904.08,3,19040.8,10
MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,gpt-oss-120b,Offline,400.478,1,1601.91,4
Intel Arc Pro B70,,,-1,gpt-oss-120b,Offline,384.225,1,1536.9,4
Intel Arc Pro B60,,,-1,gpt-oss-120b,Offline,210.26,1,841.038,4
NVIDIA GB300,NVIDIA,GB300,5,gpt-oss-120b,Server,15232.9,5,1.09677e+06,72
NVIDIA B300-SXM-270GB,NVIDIA,B300,4,gpt-oss-120b,Server,13831.9,6,110655,8
NVIDIA GB200,NVIDIA,GB200,3,gpt-oss-120b,Server,12489.1,2,899218,72
NVIDIA B200-SXM-180GB,NVIDIA,B200,2,gpt-oss-120b,Server,10930.5,2,87444.2,8
AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,gpt-oss-120b,Server,10267,6,900054,96
NVIDIA H200-SXM-141GB,NVIDIA,H200,1,gpt-oss-120b,Server,3012.9,1,24103.2,8
NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,gpt-oss-120b,Server,1782.36,3,17737.6,10
Intel Arc Pro B70,,,-1,gpt-oss-120b,Server,237.918,1,951.674,4
MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,gpt-oss-120b,Server,221.06,1,884.238,4
Intel Arc Pro B60,,,-1,gpt-oss-120b,Server,113.048,1,452.191,4
NVIDIA GB300,NVIDIA,GB300,5,llama2-70b-99,Interactive,11307.3,1,814128,72
NVIDIA GB200,NVIDIA,GB200,3,llama2-70b-99,Interactive,10484.1,1,754855,72
AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99,Interactive,9201.02,7,785522,88
